,,,1.792,-0.048
,,,1.794,-0.0408
,,,1.796,-0.0328
,,,1.798,-0.0232
,,,1.8,-0.0152
,,,1.802,-0.0064
,,,1.804,0.0024
,,,1.806,0.0104
,,,1.808,0.0192
,,,1.81,0.028
,,,1.812,0.0344
,,,1.814,0.0416
,,,1.816,0.0464
,,,1.818,0.0504
,,,1.82,0.0528
,,,1.822,0.0544
,,,1.824,0.0528
,,,1.826,0.0504
,,,1.828,0.0472
,,,1.83,0.0416
,,,1.832,0.0352
,,,1.834,0.0272
,,,1.836,0.0168
,,,1.838,0.0064
,,,1.84,-0.0048
,,,1.842,-0.0144
,,,1.844,-0.0264
,,,1.846,-0.0352
,,,1.848,-0.0432
,,,1.85,-0.0496
,,,1.852,-0.0536
,,,1.854,-0.056
,,,1.856,-0.056
,,,1.858,-0.0552
,,,1.86,-0.052
,,,1.862,-0.0472
,,,1.864,-0.0408
,,,1.866,-0.0328
,,,1.868,-0.0248
,,,1.87,-0.016
,,,1.872,-0.0064
,,,1.874,0.0032
,,,1.876,0.0128
,,,1.878,0.02
,,,1.88,0.028
,,,1.882,0.0352
,,,1.884,0.04
,,,1.886,0.0456
,,,1.888,0.0488
,,,1.89,0.052
,,,1.892,0.0536
,,,1.894,0.0528
,,,1.896,0.0512
,,,1.898,0.0472
,,,1.9,0.0416
,,,1.902,0.0344
,,,1.904,0.0256
,,,1.906,0.016
,,,1.908,0.0048
,,,1.91,-0.0056
,,,1.912,-0.0144
,,,1.914,-0.0256
,,,1.916,-0.0336
,,,1.918,-0.0424
,,,1.92,-0.048
,,,1.922,-0.0528
,,,1.924,-0.056
,,,1.926,-0.056
,,,1.928,-0.0544
,,,1.93,-0.0512
,,,1.932,-0.0464
,,,1.934,-0.04
,,,1.936,-0.0312
,,,1.938,-0.0232
,,,1.94,-0.0152
,,,1.942,-0.0056
,,,1.944,0.0016
,,,1.946,0.0112
,,,1.948,0.02
,,,1.95,0.0272
,,,1.952,0.0344
,,,1.954,0.0408
,,,1.956,0.0464
,,,1.958,0.0496
,,,1.96,0.052
,,,1.962,0.052
,,,1.964,0.0512
,,,1.966,0.0496
,,,1.968,0.0448
,,,1.97,0.0408
,,,1.972,0.0336
,,,1.974,0.0256
,,,1.976,0.0168
,,,1.978,0.0056
,,,1.98,-0.0048
,,,1.982,-0.016
,,,1.984,-0.0256
,,,1.986,-0.0344
,,,1.988,-0.0416
,,,1.99,-0.0472
,,,1.992,-0.0528
,,,1.994,-0.0552
,,,1.996,-0.0544
,,,1.998,-0.0536
,,,2,-0.0496
,,,2.002,-0.0456
,,,2.004,-0.0392
,,,2.006,-0.032
,,,2.008,-0.024
,,,2.01,-0.0144
,,,2.012,-0.0056
,,,2.014,0.0032
,,,2.016,0.012
,,,2.018,0.0208
,,,2.02,0.028
,,,2.022,0.0344
,,,2.024,0.0408
,,,2.026,0.044
,,,2.028,0.048
,,,2.03,0.0512
